R1_back,R2_back,trait_back,R1_supp,R2_supp,L1,L2,Meff
0.078125,0.0,0.00111499092558985,0.15625,4.44,-1.0,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.3125,4.44,-0.33333333333333337,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.625,4.44,-0.14285714285714285,0.0,-1.0
0.078125,0.0,0.00111499092558985,1.25,4.44,-0.06666666666666667,0.0,-1.0
0.078125,0.0,0.00111499092558985,2.5,4.44,-0.03225806451612903,0.0,-1.0
0.078125,0.0,0.00111499092558985,5.0,4.44,-0.015873015873015872,0.0,-1.0
0.078125,0.0,0.00111499092558985,10.0,4.44,-0.007874015748031496,0.0,-1.0
0.078125,0.0,0.00111499092558985,20.0,4.44,-0.00392156862745098,0.0,-1.0
0.078125,0.0,0.00111499092558985,40.0,4.44,-0.0019569471624266144,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.15625,13.33,-1.0,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.3125,13.33,-0.33333333333333337,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.625,13.33,-0.14285714285714285,0.0,-1.0
0.078125,0.0,0.00111499092558985,1.25,13.33,-0.06666666666666667,0.0,-1.0
0.078125,0.0,0.00111499092558985,2.5,13.33,-0.03225806451612903,0.0,-1.0
0.078125,0.0,0.00111499092558985,5.0,13.33,-0.015873015873015872,0.0,-1.0
0.078125,0.0,0.00111499092558985,10.0,13.33,-0.007874015748031496,0.0,-1.0
0.078125,0.0,0.00111499092558985,20.0,13.33,-0.00392156862745098,0.0,-1.0
0.078125,0.0,0.00111499092558985,40.0,13.33,-0.0019569471624266144,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.15625,40.0,-1.0,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.3125,40.0,-0.33333333333333337,0.0,-1.0
0.078125,0.0,0.00111499092558985,0.625,40.0,-0.14285714285714285,0.0,-1.0
0.078125,0.0,0.00111499092558985,1.25,40.0,-0.06666666666666667,0.0,-1.0
