R1_back,R2_back,trait_back,R1_supp,R2_supp,L1,L2,Meff
0.15625,0.165,0.021032189351702178,10.0,0.49,0.011294312981109972,0.0,1.0
0.15625,0.165,0.021032189351702178,20.0,0.49,0.005602690691416758,0.0,1.0
0.15625,0.165,0.021032189351702178,40.0,0.49,0.0027903596776859933,0.0,1.0
0.15625,0.165,0.021032189351702178,0.3125,1.48,0.7115417178099283,0.0,1.0
0.15625,0.165,0.021032189351702178,0.625,1.48,0.2371805726033094,0.0,1.0
0.15625,0.165,0.021032189351702178,1.25,1.48,0.10164881682998975,0.0,1.0
0.15625,0.165,0.021032189351702178,2.5,1.48,0.04743611452066188,0.0,1.0
0.15625,0.165,0.021032189351702178,5.0,1.48,0.022952958639029943,0.0,1.0
0.15625,0.165,0.021032189351702178,10.0,1.48,0.011294312981109972,0.0,1.0
0.15625,0.165,0.021032189351702178,20.0,1.48,0.005602690691416758,0.0,1.0
0.15625,0.165,0.021032189351702178,40.0,1.48,0.0027903596776859933,0.0,1.0
0.15625,0.165,0.021032189351702178,0.3125,4.44,0.7115417178099283,0.0,1.0
0.15625,0.165,0.021032189351702178,0.625,4.44,0.2371805726033094,0.0,1.0
0.15625,0.165,0.021032189351702178,1.25,4.44,0.10164881682998975,0.0,1.0
0.15625,0.165,0.021032189351702178,2.5,4.44,0.04743611452066188,0.0,1.0
0.15625,0.165,0.021032189351702178,5.0,4.44,0.022952958639029943,0.0,1.0
0.15625,0.165,0.021032189351702178,10.0,4.44,0.011294312981109972,0.0,1.0
0.15625,0.165,0.021032189351702178,20.0,4.44,0.005602690691416758,0.0,1.0
0.15625,0.165,0.021032189351702178,40.0,4.44,0.0027903596776859933,0.0,1.0
0.15625,0.165,0.021032189351702178,0.3125,13.33,0.7115417178099283,0.0,1.0
0.15625,0.165,0.021032189351702178,0.625,13.33,0.2371805726033094,0.0,1.0
0.15625,0.165,0.021032189351702178,1.25,13.33,0.10164881682998975,0.0,1.0
0.15625,0.165,0.021032189351702178,2.5,13.33,0.04743611452066188,0.0,1.0
0.15625,0.165,0.021032189351702178,5.0,13.33,0.022952958639029943,0.0,1.0
0.15625,0.165,0.021032189351702178,10.0,13.33,0.011294312981109972,0.0,1.0
0.15625,0.165,0.021032189351702178,20.0,13.33,0.005602690691416758,0.0,1.0
0.15625,0.165,0.021032189351702178,40.0,13.33,0.0027903596776859933,0.0,1.0
0.15625,0.165,0.021032189351702178,0.3125,40.0,0.7115417178099283,0.0,1.0
0.15625,0.165,0.021032189351702178,0.625,40.0,0.2371805726033094,0.0,1.0
0.15625,0.165,0.021032189351702178,1.25,40.0,0.10164881682998975,0.0,1.0
0.15625,0.165,0.021032189351702178,2.5,40.0,0.04743611452066188,0.0,1.0
0.15625,0.165,0.021032189351702178,5.0,40.0,0.022952958639029943,0.0,1.0
0.15625,0.165,0.021032189351702178,10.0,40.0,0.011294312981109972,0.0,1.0
0.15625,0.165,0.021032189351702178,20.0,40.0,0.005602690691416758,0.0,1.0
0.15625,0.165,0.021032189351702178,40.0,40.0,0.0027903596776859933,0.0,1.0
0.3125,0.165,0.035997469492316025,0.625,0.49,0.0,0.06740303673111708,1.0
0.3125,0.165,0.035997469492316025,1.25,0.49,0.0,0.06740303673111708,1.0
0.3125,0.165,0.035997469492316025,2.5,0.49,0.0,0.06740303673111708,1.0
0.3125,0.165,0.035997469492316025,5.0,0.49,0.0,0.06740303673111708,1.0
0.3125,0.165,0.035997469492316025,10.0,0.49,0.0,0.06740303673111708,1.0
0.3125,0.165,0.035997469492316025,20.0,0.49,0.0,0.06740303673111708,1.0
0.3125,0.165,0.035997469492316025,40.0,0.49,0.0,0.06740303673111708,1.0
