R1_back,R2_back,trait_back,R1_supp,R2_supp,L1,L2,Meff
0.15625,0.165,0.008618383883795907,5.0,4.44,0.03280093876810284,0.0,1.0
0.15625,0.165,0.008618383883795907,10.0,4.44,0.01614014447319346,0.0,1.0
0.15625,0.165,0.008618383883795907,20.0,4.44,0.008006528360718017,0.0,1.0
0.15625,0.165,0.008618383883795907,40.0,4.44,0.003987565105141914,0.0,1.0
0.15625,0.165,0.008618383883795907,0.3125,13.33,1.0,0.0,1.0
0.15625,0.165,0.008618383883795907,0.625,13.33,0.33894303393706265,0.0,1.0
0.15625,0.165,0.008618383883795907,1.25,13.33,0.14526130025874112,0.0,1.0
0.15625,0.165,0.008618383883795907,2.5,13.33,0.06778860678741254,0.0,1.0
0.15625,0.165,0.008618383883795907,5.0,13.33,0.03280093876810284,0.0,1.0
0.15625,0.165,0.008618383883795907,10.0,13.33,0.01614014447319346,0.0,1.0
0.15625,0.165,0.008618383883795907,20.0,13.33,0.008006528360718017,0.0,1.0
0.15625,0.165,0.008618383883795907,40.0,13.33,0.003987565105141914,0.0,1.0
0.15625,0.165,0.008618383883795907,0.3125,40.0,1.0,0.0,1.0
0.15625,0.165,0.008618383883795907,0.625,40.0,0.33894303393706265,0.0,1.0
0.15625,0.165,0.008618383883795907,1.25,40.0,0.14526130025874112,0.0,1.0
0.15625,0.165,0.008618383883795907,2.5,40.0,0.06778860678741254,0.0,1.0
0.15625,0.165,0.008618383883795907,5.0,40.0,0.03280093876810284,0.0,1.0
0.15625,0.165,0.008618383883795907,10.0,40.0,0.01614014447319346,0.0,1.0
0.15625,0.165,0.008618383883795907,20.0,40.0,0.008006528360718017,0.0,1.0
0.15625,0.165,0.008618383883795907,40.0,40.0,0.003987565105141914,0.0,1.0
0.3125,0.165,0.017236767767591813,0.625,0.49,0.008414550905593973,0.0,1.0
0.3125,0.165,0.017236767767591813,1.25,0.49,0.0028048503018646576,0.0,1.0
0.3125,0.165,0.017236767767591813,2.5,0.49,0.001202078700799139,0.0,1.0
0.3125,0.165,0.017236767767591813,5.0,0.49,0.0005609700603729315,0.0,1.0
0.3125,0.165,0.017236767767591813,10.0,0.49,0.00027143712598690236,0.0,1.0
0.3125,0.165,0.017236767767591813,20.0,0.49,0.00013356430008879322,0.0,1.0
0.3125,0.165,0.017236767767591813,40.0,0.49,6.625630634325964e-05,0.0,1.0
0.3125,0.165,0.017236767767591813,0.625,1.48,0.008414550905593973,0.0,1.0
0.3125,0.165,0.017236767767591813,1.25,1.48,0.0028048503018646576,0.0,1.0
0.3125,0.165,0.017236767767591813,2.5,1.48,0.001202078700799139,0.0,1.0
0.3125,0.165,0.017236767767591813,5.0,1.48,0.0005609700603729315,0.0,1.0
0.3125,0.165,0.017236767767591813,10.0,1.48,0.00027143712598690236,0.0,1.0
0.3125,0.165,0.017236767767591813,20.0,1.48,0.00013356430008879322,0.0,1.0
0.3125,0.165,0.017236767767591813,40.0,1.48,6.625630634325964e-05,0.0,1.0
0.3125,0.165,0.017236767767591813,0.625,4.44,0.008414550905593973,0.0,1.0
0.3125,0.165,0.017236767767591813,1.25,4.44,0.0028048503018646576,0.0,1.0
0.3125,0.165,0.017236767767591813,2.5,4.44,0.001202078700799139,0.0,1.0
0.3125,0.165,0.017236767767591813,5.0,4.44,0.0005609700603729315,0.0,1.0
0.3125,0.165,0.017236767767591813,10.0,4.44,0.00027143712598690236,0.0,1.0
0.3125,0.165,0.017236767767591813,20.0,4.44,0.00013356430008879322,0.0,1.0
0.3125,0.165,0.017236767767591813,40.0,4.44,6.625630634325964e-05,0.0,1.0
0.3125,0.165,0.017236767767591813,0.625,13.33,0.008414550905593973,0.0,1.0
0.3125,0.165,0.017236767767591813,1.25,13.33,0.0028048503018646576,0.0,1.0
0.3125,0.165,0.017236767767591813,2.5,13.33,0.001202078700799139,0.0,1.0
0.3125,0.165,0.017236767767591813,5.0,13.33,0.0005609700603729315,0.0,1.0
0.3125,0.165,0.017236767767591813,10.0,13.33,0.00027143712598690236,0.0,1.0
0.3125,0.165,0.017236767767591813,20.0,13.33,0.00013356430008879322,0.0,1.0
0.3125,0.165,0.017236767767591813,40.0,13.33,6.625630634325964e-05,0.0,1.0
0.3125,0.165,0.017236767767591813,0.625,40.0,0.008414550905593973,0.0,1.0
0.3125,0.165,0.017236767767591813,1.25,40.0,0.0028048503018646576,0.0,1.0
0.3125,0.165,0.017236767767591813,2.5,40.0,0.001202078700799139,0.0,1.0
0.3125,0.165,0.017236767767591813,5.0,40.0,0.0005609700603729315,0.0,1.0
0.3125,0.165,0.017236767767591813,10.0,40.0,0.00027143712598690236,0.0,1.0
